Start of file
"ID";"CreditsID";"Amount";"PaymentDate"
"cd6fbe06-11b0-4c9c-acc4-0bc9c12f4c99";"cd6fbe06-11b0-4c9c-acc4-0bc9c12f4c56";"50000,00";"10.09.2015 0:00:00"
"149513b9-ec51-469c-959b-0ff9d944aa51";"dcb1c202-ae7d-48e0-84fe-51e46ebc58b0";"50000,00";"02.08.2016 20:56:50"
"bf568188-637b-4967-b43b-1287fe8f2954";"5fd4b3fc-26e8-42ae-9cdb-a515aabc9f9d";"11000,50";"31.08.2016 16:11:33"
"276a0461-272b-4562-9fca-12b0200d4773";"ed6fbe06-54b0-4c9c-acc4-0ba3c12f4c88";"600000,00";"08.08.2016 15:56:33"
"f989bc4f-0990-470f-b1b4-1439c2d6b609";"a9e92269-2e23-4ed2-9e82-cf8692182b36";"100,99";"31.08.2016 16:16:59"
"3e877e87-853f-480a-bc69-176de6763b23";"1817614e-275b-4269-9e63-8ba5fbac5366";"2000,00";"22.08.2016 20:57:54"
"8ec3c9ee-4aa1-4245-a09c-1d014ab89853";"38eeb9e1-800e-4ac7-960f-f7cf181bfe0a";"1000,00";"31.08.2016 16:13:21"
"8bc4284d-3198-4c48-93ee-2dea5436b463";"141a2037-3772-4132-89ff-60d3f556f091";"15000,00";"11.08.2016 14:51:41"
"8695dd5a-3744-4295-b5a2-3deb5af7b028";"1817614e-275b-4269-9e63-8ba5fbac5366";"500,00";"24.08.2016 20:58:09"
"20481773-6c09-45b4-baa6-43a6e04f6430";"1817614e-275b-4269-9e63-8ba5fbac5366";"500,00";"25.08.2016 20:58:21"
"b5ef3e59-ede0-42fe-bb97-58611eaa2b63";"141a2037-3772-4132-89ff-60d3f556f091";"11000,00";"31.08.2016 15:23:20"
"78220d91-a173-46a2-bf00-626f7b475967";"5e1a3f0e-2d04-4354-92d9-727d7ac9de27";"40000,00";"05.08.2016 15:53:20"
"6e86da22-f7ff-4df1-9689-806c77e2256b";"26036b11-d4c4-4fd9-9be5-e8f2ac894de7";"20000,00";"13.09.2016 0:00:00"
"2a17d32a-c7bf-47c3-b07c-902c2e183ce8";"ad6fbe03-54b0-1c9c-acc4-0ba6c97f4c83";"9000,00";"29.08.2016 15:47:27"
"71822b21-d4d5-464f-a1e4-995403c9dbea";"432abe31-416d-40c5-81a2-958cf7a4a12b";"20000,00";"15.09.2016 0:00:00"
"a64f6564-ee63-46a6-8e08-aae7b880f7d6";"1817614e-275b-4269-9e63-8ba5fbac5366";"1000,00";"26.08.2016 20:58:35"
"83812cfe-3d27-41b7-bfcf-c324715bceff";"4b6e75ca-d2a5-45ca-bf29-a7a4a10cb271";"25000,00";"05.09.2016 0:00:00"
"9319c4ec-6298-4bab-a11c-d763c2c0b4db";"5e04262e-9ec5-4a89-9c6a-595001455d29";"20000,00";"14.09.2016 0:00:00"
"9b63475c-4537-4d8e-94fd-d83acc1ed7e6";"6308f577-8f01-4a22-9d61-bea7f9be04d5";"500000,00";"08.09.2016 0:00:00"
"5a76b267-b558-4653-915a-e92ce73a85cb";"1817614e-275b-4269-9e63-8ba5fbac5366";"5000,00";"23.08.2016 20:56:14"
"e6be05a3-9d36-40dc-ab7b-fea3b36411ba";"ad6fbe03-54b0-1c9c-acc4-0ba6c97f4c83";"100000,00";"20.07.2016 15:41:01"
End of file
