Start of file
"ID";"DebitorID";"Amount";"Balance";"OpenDate"
"eea93726-48e5-482c-af51-0a3e6cf06e86";"f0ee397c-f6d6-4644-b195-3ebfe59eb7b0";"75000,0000";"75000,0000";"22.01.2016"
"ed6fbe06-54b0-4c9c-acc4-0ba3c12f4c88";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c39";"1000000,0000";"400000,0000";"24.02.2008"
"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c11";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c71";"500000,0000";"500000,0000";"11.01.2010"
"ad6fbe03-54b0-1c9c-acc4-0ba6c97f4c83";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c15";"150000,0000";"41000,0000";"08.12.2011"
"cd6fbe06-11b0-4c9c-acc4-0bc9c12f4c56";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c71";"200000,0000";"150000,0000";"19.05.2015"
"2f427538-8509-4844-a8f5-232afb6f5aab";"769290e1-05f2-4ee0-90a5-58bc19ce14c1";"770000,0000";"770000,0000";"06.05.2016"
"a415cae6-5257-43dd-99aa-246f7b5f0bf5";"b7932cac-f88a-4f3a-8f51-21b294487014";"18000,0000";"18000,0000";"2016-09-07"
"8b0b6223-7cb3-4e25-988c-45b296c99221";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c15";"2000000,0000";"2000000,0000";"12.07.2016"
"98205f66-d73f-4c1b-b5fd-4c4be830d837";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c28";"250000,0000";"250000,0000";"26.04.2016"
"dcb1c202-ae7d-48e0-84fe-51e46ebc58b0";"f0ee397c-f6d6-4644-b195-3ebfe59eb7b0";"90000,0000";"40000,0000";"30.06.2016"
"5e04262e-9ec5-4a89-9c6a-595001455d29";"0fafb30d-dfd7-4e2e-be0f-dc1d5b90e309";"420000,0000";"400000,0000";"2016-09-09"
"484a339b-6c10-435a-a418-5c20c4be05aa";"769290e1-05f2-4ee0-90a5-58bc19ce14c1";"180000,0000";"180000,0000";"18.04.2016"
"141a2037-3772-4132-89ff-60d3f556f091";"44c87c17-208f-47c9-9e67-8d631b812c14";"30000,0000";"4000,0000";"11.03.2014"
"b0b02dee-1ee6-4c2c-b378-6738bfdb402a";"f0ee397c-f6d6-4644-b195-3ebfe59eb7b0";"35000,0000";"35000,0000";"26.07.2016"
"5e1a3f0e-2d04-4354-92d9-727d7ac9de27";"c7b56820-7360-4152-8cac-6ab96289d566";"240000,0000";"200000,0000";"17.06.2016"
"9fd38066-15b6-41c2-850d-75bbb1659bfe";"44c87c17-208f-47c9-9e67-8d631b812c14";"55000,0000";"55000,0000";"13.04.2016"
"b4e02d3e-e7d8-4268-85e7-7ca1dcab3c2b";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c15";"1200000,0000";"1200000,0000";"29.08.2016"
"1817614e-275b-4269-9e63-8ba5fbac5366";"f0ee397c-f6d6-4644-b195-3ebfe59eb7b0";"10000,0000";"1000,0000";"05.08.2016"
"432abe31-416d-40c5-81a2-958cf7a4a12b";"1fd8b947-8a3c-479d-aed3-5f7e2a7f761a";"100000,0000";"80000,0000";"2016-09-13"
"5fd4b3fc-26e8-42ae-9cdb-a515aabc9f9d";"f0ee397c-f6d6-4644-b195-3ebfe59eb7b0";"2000000,0000";"899950,0000";"24.07.2015"
"5a8e05d0-1fa5-4abb-9be4-a728cea80093";"44c87c17-208f-47c9-9e67-8d631b812c14";"170000,0000";"170000,0000";"11.08.2016"
"4b6e75ca-d2a5-45ca-bf29-a7a4a10cb271";"1085444e-dd70-4863-85c0-25b1880afb6a";"150000,0000";"125000,0000";"2016-09-02"
"5b15f773-d479-483c-ba6a-ac996bf61517";"f0ee397c-f6d6-4644-b195-3ebfe59eb7b0";"4500,0000";"4500,0000";"10.11.2015"
"027c3f48-cda7-45fa-bff8-afcf2d768d41";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c15";"90000,0000";"90000,0000";"03.08.2016"
"82b9a648-2254-4164-a8d0-bcba87327026";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c15";"150000,0000";"150000,0000";"08.08.2016"
"6308f577-8f01-4a22-9d61-bea7f9be04d5";"2a64373c-f17f-4eaa-95da-da6bf10fb9c8";"2500000,0000";"2000000,0000";"2016-09-05"
"f213c6c1-7dbe-4db3-9816-c4be1dbffbe9";"44c87c17-208f-47c9-9e67-8d631b812c14";"500000,0000";"500000,0000";"21.03.2016"
"a9e92269-2e23-4ed2-9e82-cf8692182b36";"769290e1-05f2-4ee0-90a5-58bc19ce14c1";"200000,0000";"199899,0100";"23.09.2015"
"4171cf8d-bf00-43bc-b86a-de9144ce78a3";"769290e1-05f2-4ee0-90a5-58bc19ce14c1";"1500000,0000";"1500000,0000";"09.12.2015"
"26036b11-d4c4-4fd9-9be5-e8f2ac894de7";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c15";"45000,0000";"25000,0000";"2016-07-05"
"196d8a1b-b9c6-4e55-9dd3-f2730ace22be";"f0ee397c-f6d6-4644-b195-3ebfe59eb7b0";"18000,0000";"18000,0000";"10.08.2015"
"38eeb9e1-800e-4ac7-960f-f7cf181bfe0a";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c06";"180000,0000";"179000,0000";"15.03.2016"
"52bf5ff2-774c-4f43-81db-f99ba12e9873";"769290e1-05f2-4ee0-90a5-58bc19ce14c1";"800000,0000";"800000,0000";"23.06.2016"
"ef180d8e-e04b-4726-998f-fb476f3fc26e";"44c87c17-208f-47c9-9e67-8d631b812c14";"250000,0000";"250000,0000";"10.08.2016"
End of file
